StartTime,EndTime,Title,Annotation,MainCategory,Category2,Category3
06:55.8,06:55.8,1,,Eating Activity
07:09.4,07:09.4,1,,Eating Activity
07:31.0,07:31.0,1,,Eating Activity
07:54.1,07:54.1,1,,Eating Activity
08:09.5,08:09.5,1,,Eating Activity
08:28.2,08:28.2,1,,Eating Activity
08:51.8,08:51.8,1,,Eating Activity
09:05.6,09:05.6,1,,Eating Activity
09:12.0,09:12.0,1,,Eating Activity
09:30.2,09:30.2,1,,Eating Activity
09:47.1,09:47.1,1,,Eating Activity
09:56.5,09:56.5,1,,Eating Activity
10:28.8,10:28.8,1,,Eating Activity
10:35.6,10:35.6,1,,Eating Activity
10:46.9,10:46.9,1,,Eating Activity
11:01.8,11:01.8,1,,Eating Activity
11:29.3,11:29.3,1,,Eating Activity
11:40.5,11:40.5,1,,Eating Activity
17:57.4,17:57.4,2,,Eating Activity
18:41.5,18:41.5,2,,Eating Activity
19:01.3,19:01.3,2,,Eating Activity
19:36.2,19:36.2,2,,Eating Activity
19:55.7,19:55.7,2,,Eating Activity
20:22.2,20:22.2,2,,Eating Activity
20:58.6,20:58.6,2,,Eating Activity
21:23.1,21:23.1,2,,Eating Activity
21:49.8,21:49.8,2,,Eating Activity
22:16.8,22:16.8,2,,Eating Activity
22:35.3,22:35.3,2,,Eating Activity
22:54.4,22:54.4,2,,Eating Activity
23:13.9,23:13.9,2,,Eating Activity
23:28.3,23:28.3,2,,Eating Activity
23:43.1,23:43.1,2,,Eating Activity
23:50.3,23:50.3,2,,Eating Activity
24:01.6,24:01.6,2,,Eating Activity
24:08.2,24:08.2,2,,Eating Activity
24:20.2,24:20.2,2,,Eating Activity
24:29.2,24:29.2,2,,Eating Activity
24:41.0,24:41.0,2,,Eating Activity
24:47.0,24:47.0,2,,Eating Activity
24:49.4,24:49.4,2,,Eating Activity
