StartTime,EndTime,Title,Annotation,MainCategory,Category2,Category3
06:15.1,06:15.1,1,,Eating Activity
06:44.5,06:44.5,1,,Eating Activity
06:57.8,06:57.8,1,,Eating Activity
07:08.5,07:08.5,1,,Eating Activity
07:20.4,07:20.4,1,,Eating Activity
07:32.2,07:32.2,1,,Eating Activity
07:46.7,07:46.7,1,,Eating Activity
07:56.2,07:56.2,1,,Eating Activity
08:04.5,08:04.5,1,,Eating Activity
08:11.7,08:11.7,1,,Eating Activity
08:21.3,08:21.3,1,,Eating Activity
08:37.4,08:37.4,1,,Eating Activity
08:41.0,08:41.0,1,,Eating Activity
08:45.4,08:45.4,1,,Eating Activity
08:54.5,08:54.5,1,,Eating Activity
09:10.3,09:10.3,1,,Eating Activity
09:35.7,09:35.7,1,,Eating Activity
09:42.9,09:42.9,1,,Eating Activity
09:51.0,09:51.0,1,,Eating Activity
10:12.1,10:12.1,1,,Eating Activity
10:20.8,10:20.8,1,,Eating Activity
10:30.2,10:30.2,1,,Eating Activity
10:36.0,10:36.0,1,,Eating Activity
10:41.4,10:41.4,1,,Eating Activity
10:46.8,10:46.8,1,,Eating Activity
10:51.5,10:51.5,1,,Eating Activity
10:52.8,10:52.8,1,,Eating Activity
10:57.2,10:57.2,1,,Eating Activity
11:02.7,11:02.7,1,,Eating Activity
11:07.7,11:07.7,1,,Eating Activity
11:13.5,11:13.5,1,,Eating Activity
11:18.5,11:18.5,1,,Eating Activity
11:23.8,11:23.8,1,,Eating Activity
11:40.1,11:40.1,1,,Eating Activity
11:45.8,11:45.8,1,,Eating Activity
11:52.6,11:52.6,1,,Eating Activity
12:00.7,12:00.7,1,,Eating Activity
12:17.9,12:17.9,1,,Eating Activity
12:26.3,12:26.3,1,,Eating Activity
12:44.1,12:44.1,1,,Eating Activity
12:53.3,12:53.3,1,,Eating Activity
13:01.6,13:01.6,1,,Eating Activity
13:07.8,13:07.8,1,,Eating Activity
13:18.1,13:18.1,1,,Eating Activity
13:25.9,13:25.9,1,,Eating Activity
13:37.3,13:37.3,1,,Eating Activity
13:43.1,13:43.1,1,,Eating Activity
13:47.5,13:47.5,1,,Eating Activity
13:55.9,13:55.9,1,,Eating Activity
14:02.8,14:02.8,1,,Eating Activity
14:10.2,14:10.2,1,,Eating Activity
14:15.1,14:15.1,1,,Eating Activity
14:20.3,14:20.3,1,,Eating Activity
14:24.1,14:24.1,1,,Eating Activity
20:39.1,20:39.1,2,,Eating Activity
20:55.1,20:55.1,2,,Eating Activity
21:06.6,21:06.6,2,,Eating Activity
21:22.3,21:22.3,2,,Eating Activity
21:26.1,21:26.1,2,,Eating Activity
21:34.9,21:34.9,2,,Eating Activity
21:52.4,21:52.4,2,,Eating Activity
21:55.7,21:55.7,2,,Eating Activity
22:01.6,22:01.6,2,,Eating Activity
22:11.1,22:11.1,2,,Eating Activity
22:22.9,22:22.9,2,,Eating Activity
22:24.7,22:24.7,2,,Eating Activity
22:38.1,22:38.1,2,,Eating Activity
22:57.5,22:57.5,2,,Eating Activity
23:08.4,23:08.4,2,,Eating Activity
23:20.5,23:20.5,2,,Eating Activity
23:25.8,23:25.8,2,,Eating Activity
23:41.9,23:41.9,2,,Eating Activity
24:00.3,24:00.3,2,,Eating Activity
24:15.9,24:15.9,2,,Eating Activity
24:37.5,24:37.5,2,,Eating Activity
