StartTime,EndTime,Title,Annotation,MainCategory,Category2,Category3
06:21.6,06:21.6,1,,Eating Activity
06:32.3,06:32.3,1,,Eating Activity
06:46.5,06:46.5,1,,Eating Activity
07:03.0,07:03.0,1,,Eating Activity
07:20.6,07:20.6,1,,Eating Activity
07:35.1,07:35.1,1,,Eating Activity
07:51.4,07:51.4,1,,Eating Activity
08:05.6,08:05.6,1,,Eating Activity
08:35.1,08:35.1,1,,Eating Activity
15:30.0,15:30.0,2,,Eating Activity
15:54.9,15:54.9,2,,Eating Activity
16:14.0,16:14.0,2,,Eating Activity
16:36.6,16:36.6,2,,Eating Activity
16:53.0,16:53.0,2,,Eating Activity
17:19.0,17:19.0,2,,Eating Activity
17:40.3,17:40.3,2,,Eating Activity
18:04.7,18:04.7,2,,Eating Activity
18:29.8,18:29.8,2,,Eating Activity
18:51.6,18:51.6,2,,Eating Activity
19:06.9,19:06.9,2,,Eating Activity
19:29.7,19:29.7,2,,Eating Activity
19:52.3,19:52.3,2,,Eating Activity
20:06.3,20:06.3,2,,Eating Activity
20:25.4,20:25.4,2,,Eating Activity
21:00.6,21:00.6,2,,Eating Activity
21:24.9,21:24.9,2,,Eating Activity
